"week","borough","ridership"
2025-10-05,"Queens",886682
2025-10-12,"Bronx",532626
2025-10-12,"Brooklyn",1461605
2025-10-12,"Manhattan",1599489
2025-10-12,"Queens",844763
2025-10-19,"Bronx",578636
2025-10-19,"Brooklyn",1572121
2025-10-19,"Manhattan",1668060
2025-10-19,"Queens",875913
2025-10-26,"Bronx",593647
2025-10-26,"Brooklyn",1608571
2025-10-26,"Manhattan",1681603
2025-10-26,"Queens",881230
2025-11-02,"Bronx",575852
2025-11-02,"Brooklyn",1564215
2025-11-02,"Manhattan",1631700
2025-11-02,"Queens",860151
2025-11-09,"Bronx",566311
2025-11-09,"Brooklyn",1550820
2025-11-09,"Manhattan",1603148
2025-11-09,"Queens",847465
2025-11-16,"Bronx",596203
2025-11-16,"Brooklyn",1616751
2025-11-16,"Manhattan",1614728
2025-11-16,"Queens",861385
2025-11-23,"Bronx",440308
2025-11-23,"Brooklyn",1208839
2025-11-23,"Manhattan",1302926
2025-11-23,"Queens",722867
2025-11-30,"Bronx",592607
2025-11-30,"Brooklyn",1595030
2025-11-30,"Manhattan",1569667
2025-11-30,"Queens",850201
2025-12-07,"Bronx",236629
2025-12-07,"Brooklyn",641235
2025-12-07,"Manhattan",627292
2025-12-07,"Queens",330680
