"date","borough","coords_cbd","ridership"
2024-11-17,"Brooklyn",TRUE,16408
2024-11-17,"Manhattan",FALSE,NA
2024-11-17,"Manhattan",TRUE,NA
2024-11-17,"Queens",FALSE,NA
2024-11-18,"Bronx",FALSE,286880
2024-11-18,"Brooklyn",FALSE,NA
2024-11-18,"Brooklyn",TRUE,20521
2024-11-18,"Manhattan",FALSE,NA
2024-11-18,"Manhattan",TRUE,NA
2024-11-18,"Queens",FALSE,NA
2024-11-19,"Bronx",FALSE,297969
2024-11-19,"Brooklyn",FALSE,NA
2024-11-19,"Brooklyn",TRUE,NA
2024-11-19,"Manhattan",FALSE,NA
2024-11-19,"Manhattan",TRUE,NA
2024-11-19,"Queens",FALSE,NA
2024-11-20,"Bronx",FALSE,289639
2024-11-20,"Brooklyn",FALSE,NA
2024-11-20,"Brooklyn",TRUE,NA
2024-11-20,"Manhattan",FALSE,NA
2024-11-20,"Manhattan",TRUE,NA
2024-11-20,"Queens",FALSE,NA
2024-11-21,"Bronx",FALSE,279675
2024-11-21,"Brooklyn",FALSE,NA
2024-11-21,"Brooklyn",TRUE,NA
2024-11-21,"Manhattan",FALSE,NA
2024-11-21,"Manhattan",TRUE,NA
2024-11-21,"Queens",FALSE,NA
2024-11-22,"Bronx",FALSE,269217
2024-11-22,"Brooklyn",FALSE,NA
2024-11-22,"Brooklyn",TRUE,18909
2024-11-22,"Manhattan",FALSE,NA
2024-11-22,"Manhattan",TRUE,NA
2024-11-22,"Queens",FALSE,NA
2024-11-23,"Bronx",FALSE,NA
2024-11-23,"Brooklyn",FALSE,NA
2024-11-23,"Brooklyn",TRUE,NA
2024-11-23,"Manhattan",FALSE,NA
2024-11-23,"Manhattan",TRUE,NA
2024-11-23,"Queens",FALSE,NA
2024-11-24,"Bronx",FALSE,120491
2024-11-24,"Brooklyn",FALSE,NA
2024-11-24,"Brooklyn",TRUE,16140
2024-11-24,"Manhattan",FALSE,NA
2024-11-24,"Manhattan",TRUE,NA
2024-11-24,"Queens",FALSE,NA
2024-11-25,"Bronx",FALSE,279769
2024-11-25,"Brooklyn",FALSE,NA
2024-11-25,"Brooklyn",TRUE,21293
2024-11-25,"Manhattan",FALSE,NA
2024-11-25,"Manhattan",TRUE,NA
2024-11-25,"Queens",FALSE,NA
2024-11-26,"Bronx",FALSE,281310
2024-11-26,"Brooklyn",FALSE,NA
2024-11-26,"Brooklyn",TRUE,NA
2024-11-26,"Manhattan",FALSE,NA
2024-11-26,"Manhattan",TRUE,NA
2024-11-26,"Queens",FALSE,NA
2024-11-27,"Bronx",FALSE,268146
2024-11-27,"Brooklyn",FALSE,NA
2024-11-27,"Brooklyn",TRUE,18943
2024-11-27,"Manhattan",FALSE,NA
2024-11-27,"Manhattan",TRUE,NA
2024-11-27,"Queens",FALSE,NA
2024-11-28,"Bronx",FALSE,104566
2024-11-28,"Brooklyn",FALSE,300575
2024-11-28,"Brooklyn",TRUE,7917
2024-11-28,"Manhattan",FALSE,NA
2024-11-28,"Manhattan",TRUE,NA
2024-11-28,"Queens",FALSE,229135
2024-11-29,"Bronx",FALSE,177873
2024-11-29,"Brooklyn",FALSE,NA
2024-11-29,"Brooklyn",TRUE,15941
2024-11-29,"Manhattan",FALSE,NA
2024-11-29,"Manhattan",TRUE,NA
2024-11-29,"Queens",FALSE,NA
2024-11-30,"Bronx",FALSE,142169
2024-11-30,"Brooklyn",FALSE,NA
2024-11-30,"Brooklyn",TRUE,17708
2024-11-30,"Manhattan",FALSE,NA
2024-11-30,"Manhattan",TRUE,NA
2024-11-30,"Queens",FALSE,NA
2024-12-01,"Bronx",FALSE,114665
2024-12-01,"Brooklyn",FALSE,NA
2024-12-01,"Brooklyn",TRUE,14197
2024-12-01,"Manhattan",FALSE,NA
2024-12-01,"Manhattan",TRUE,NA
2024-12-01,"Queens",FALSE,NA
2024-12-02,"Bronx",FALSE,274330
2024-12-02,"Brooklyn",FALSE,NA
2024-12-02,"Brooklyn",TRUE,19532
2024-12-02,"Manhattan",FALSE,NA
2024-12-02,"Manhattan",TRUE,NA
2024-12-02,"Queens",FALSE,NA
2024-12-03,"Bronx",FALSE,289837
2024-12-03,"Brooklyn",FALSE,NA
2024-12-03,"Brooklyn",TRUE,NA
2024-12-03,"Manhattan",FALSE,NA
2024-12-03,"Manhattan",TRUE,NA
2024-12-03,"Queens",FALSE,NA
2024-12-04,"Bronx",FALSE,288836
2024-12-04,"Brooklyn",FALSE,NA
2024-12-04,"Brooklyn",TRUE,NA
2024-12-04,"Manhattan",FALSE,NA
2024-12-04,"Manhattan",TRUE,NA
2024-12-04,"Queens",FALSE,NA
2024-12-05,"Bronx",FALSE,285492
2024-12-05,"Brooklyn",FALSE,NA
2024-12-05,"Brooklyn",TRUE,NA
2024-12-05,"Manhattan",FALSE,NA
2024-12-05,"Manhattan",TRUE,NA
2024-12-05,"Queens",FALSE,NA
2024-12-06,"Bronx",FALSE,275382
2024-12-06,"Brooklyn",FALSE,NA
2024-12-06,"Brooklyn",TRUE,23070
2024-12-06,"Manhattan",FALSE,NA
2024-12-06,"Manhattan",TRUE,NA
2024-12-06,"Queens",FALSE,NA
2024-12-07,"Bronx",FALSE,147800
2024-12-07,"Brooklyn",FALSE,NA
2024-12-07,"Brooklyn",TRUE,NA
2024-12-07,"Manhattan",FALSE,NA
2024-12-07,"Manhattan",TRUE,NA
2024-12-07,"Queens",FALSE,NA
2024-12-08,"Bronx",FALSE,113990
2024-12-08,"Brooklyn",FALSE,NA
2024-12-08,"Brooklyn",TRUE,NA
2024-12-08,"Manhattan",FALSE,NA
2024-12-08,"Manhattan",TRUE,NA
2024-12-08,"Queens",FALSE,NA
2024-12-09,"Bronx",FALSE,275071
2024-12-09,"Brooklyn",FALSE,NA
2024-12-09,"Brooklyn",TRUE,19905
2024-12-09,"Manhattan",FALSE,NA
2024-12-09,"Manhattan",TRUE,NA
2024-12-09,"Queens",FALSE,NA
2024-12-10,"Bronx",FALSE,287580
2024-12-10,"Brooklyn",FALSE,NA
2024-12-10,"Brooklyn",TRUE,NA
2024-12-10,"Manhattan",FALSE,NA
2024-12-10,"Manhattan",TRUE,NA
2024-12-10,"Queens",FALSE,NA
2024-12-11,"Bronx",FALSE,275081
2024-12-11,"Brooklyn",FALSE,NA
2024-12-11,"Brooklyn",TRUE,17794
2024-12-11,"Manhattan",FALSE,NA
2024-12-11,"Manhattan",TRUE,NA
2024-12-11,"Queens",FALSE,NA
2024-12-12,"Bronx",FALSE,289866
2024-12-12,"Brooklyn",FALSE,NA
2024-12-12,"Brooklyn",TRUE,NA
2024-12-12,"Manhattan",FALSE,NA
2024-12-12,"Manhattan",TRUE,NA
2024-12-12,"Queens",FALSE,NA
2024-12-13,"Bronx",FALSE,273407
2024-12-13,"Brooklyn",FALSE,NA
2024-12-13,"Brooklyn",TRUE,NA
2024-12-13,"Manhattan",FALSE,NA
2024-12-13,"Manhattan",TRUE,NA
2024-12-13,"Queens",FALSE,NA
2024-12-14,"Bronx",FALSE,154443
2024-12-14,"Brooklyn",FALSE,NA
2024-12-14,"Brooklyn",TRUE,NA
2024-12-14,"Manhattan",FALSE,NA
2024-12-14,"Manhattan",TRUE,NA
2024-12-14,"Queens",FALSE,NA
2024-12-15,"Bronx",FALSE,116311
