"week","borough","ridership"
2025-12-07,"Bronx",602285
2025-12-07,"Brooklyn",1620183
2025-12-07,"Manhattan",1586289
2025-12-07,"Queens",851802
2025-12-14,"Bronx",577148
2025-12-14,"Brooklyn",1563433
2025-12-14,"Manhattan",1547277
2025-12-14,"Queens",826947
2025-12-21,"Bronx",379483
2025-12-21,"Brooklyn",1008235
2025-12-21,"Manhattan",1113510
2025-12-21,"Queens",625706
2025-12-28,"Bronx",166638
2025-12-28,"Brooklyn",459274
2025-12-28,"Manhattan",505023
2025-12-28,"Queens",280392
