"","date","ridership","min_temp","snow","snow_d","rain"
"277",2025-03-04,3245,30,0,0,0
"278",2025-03-05,3081,42,0,0,1.49
"279",2025-03-06,3242,38,0,0,0.01
"280",2025-03-07,2963,37,0,0,0
"281",2025-03-08,4,38,0,0,0
"282",2025-03-09,3,34,0,0,0
"283",2025-03-10,3052,39,0,0,0
"284",2025-03-11,3288,37,0,0,0
"285",2025-03-12,3247,42,0,0,0
"286",2025-03-13,3215,38,0,0,0
"287",2025-03-14,2955,42,0,0,0
"288",2025-03-15,1312,43,0,0,0.01
"289",2025-03-16,912,48,0,0,0.06
"290",2025-03-17,3020,41,0,0,0.82
"291",2025-03-18,3316,37,0,0,0
"292",2025-03-19,3396,38,0,0,0
"293",2025-03-20,3260,42,0,0,0.41
"294",2025-03-21,3112,40,0,0,0.06
"295",2025-03-22,1380,38,0,0,0
"296",2025-03-23,915,32,0,0,0
"297",2025-03-24,2905,40,0,0,0.83
"298",2025-03-25,3316,44,0,0,0
"299",2025-03-26,3323,39,0,0,0.01
"300",2025-03-27,3294,35,0,0,0
"301",2025-03-28,3090,42,0,0,0.01
"302",2025-03-29,1508,44,0,0,0.01
"303",2025-03-30,975,44,0,0,0.02
"304",2025-03-31,2929,48,0,0,0.51
"305",2025-04-01,3245,43,0,0,0.12
"306",2025-04-02,3267,37,0,0,0.01
"307",2025-04-03,3282,45,0,0,0.09
"308",2025-04-04,3055,57,0,0,0.09
"309",2025-04-05,1342,45,0,0,0.15
"310",2025-04-06,1046,45,0,0,0.02
"311",2025-04-07,3024,40,0,0,0.17
"312",2025-04-08,3348,36,0,0,0.01
"313",2025-04-09,3309,32,0,0,0
"314",2025-04-10,3306,39,0,0,0
"315",2025-04-11,2887,40,0,0,0.45
"316",2025-04-12,1194,38,0,0,0.57
"317",2025-04-13,939,40,0,0,0.04
"318",2025-04-14,2577,43,0,0,0.03
"319",2025-04-15,2841,47,0,0,0.01
"320",2025-04-16,2592,45,0,0,0
"321",2025-04-17,2647,43,0,0,0
"322",2025-04-18,2244,40,0,0,0
"323",2025-04-19,1335,52,0,0,0
"324",2025-04-20,900,52,0,0,0
"325",2025-04-21,2630,47,0,0,0
"326",2025-04-22,2969,50,0,NA,0
"327",2025-04-23,2642,50,0,0,0
"328",2025-04-24,2984,47,0,0,0
"329",2025-04-25,2754,52,0,0,0
"330",2025-04-26,1199,54,0,0,0.41
"331",2025-04-27,867,49,0,0,0
"332",2025-04-28,3143,53,0,0,0
"333",2025-04-29,3325,50,0,0,0
"334",2025-04-30,3298,58,0,0,0
"335",2025-05-01,3415,50,0,0,0
"336",2025-05-02,3122,56,0,0,0
"337",2025-05-03,1215,55,0,0,0
"338",2025-05-04,847,58,0,0,0.41
"339",2025-05-05,3070,59,0,0,1.02
"340",2025-05-06,3245,54,0,0,0.05
"341",2025-05-07,3385,54,0,0,0
"342",2025-05-08,3035,58,0,0,0
"343",2025-05-09,2894,54,0,0,0.25
"344",2025-05-10,1405,52,0,0,0
"345",2025-05-11,889,54,0,0,0
"346",2025-05-12,3151,52,0,0,0
"347",2025-05-13,3316,59,0,0,0.2
"348",2025-05-14,3210,60,0,0,0.62
"349",2025-05-15,3419,61,0,0,0.01
"350",2025-05-16,3018,61,0,0,0.07
"351",2025-05-17,1446,61,0,0,0
