"date","borough","ridership"
2024-10-25,"Queens",213267
2024-10-28,"Bronx",115261
2024-10-28,"Brooklyn",334880
2024-10-28,"Manhattan",385599
2024-10-28,"Queens",218876
2024-10-29,"Bronx",121856
2024-10-29,"Brooklyn",359907
2024-10-29,"Manhattan",402641
2024-10-29,"Queens",227784
2024-10-30,"Bronx",124297
2024-10-30,"Brooklyn",363441
2024-10-30,"Manhattan",406084
2024-10-30,"Queens",231247
2024-10-31,"Bronx",114075
2024-10-31,"Brooklyn",341245
2024-10-31,"Manhattan",390804
2024-10-31,"Queens",223015
2024-11-01,"Bronx",90561
2024-11-01,"Brooklyn",264205
2024-11-01,"Manhattan",330709
2024-11-01,"Queens",187936
2024-11-04,"Bronx",115937
2024-11-04,"Brooklyn",337648
2024-11-04,"Manhattan",386216
2024-11-04,"Queens",217354
2024-11-05,"Bronx",96649
2024-11-05,"Brooklyn",298896
2024-11-05,"Manhattan",353704
2024-11-05,"Queens",197441
2024-11-06,"Bronx",121835
2024-11-06,"Brooklyn",351534
2024-11-06,"Manhattan",382080
2024-11-06,"Queens",225460
2024-11-07,"Bronx",121451
2024-11-07,"Brooklyn",350501
2024-11-07,"Manhattan",391507
2024-11-07,"Queens",225043
2024-11-08,"Bronx",112409
2024-11-08,"Brooklyn",317131
2024-11-08,"Manhattan",367011
2024-11-08,"Queens",214698
2024-11-11,"Bronx",83049
2024-11-11,"Brooklyn",257797
2024-11-11,"Manhattan",317454
2024-11-11,"Queens",177120
2024-11-12,"Bronx",121588
2024-11-12,"Brooklyn",357091
2024-11-12,"Manhattan",394290
2024-11-12,"Queens",225754
2024-11-13,"Bronx",124108
2024-11-13,"Brooklyn",361537
2024-11-13,"Manhattan",396786
2024-11-13,"Queens",227624
2024-11-14,"Bronx",120960
2024-11-14,"Brooklyn",355015
2024-11-14,"Manhattan",389123
2024-11-14,"Queens",224544
2024-11-15,"Bronx",111510
2024-11-15,"Brooklyn",318662
2024-11-15,"Manhattan",366009
